Program,StationName,StationCode,SampleDate,MethodName,Analyte,Unit,OriginalResult,CalculatedResult,MDL,ResultQualCode,DataQuality
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2021-03-16","NA","E. coli","MPN/100 mL",56.5,56.5,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2021-03-09","NA","E. coli","MPN/100 mL",9.7,9.7,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2021-03-02","NA","E. coli","MPN/100 mL",5.2,5.2,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2021-02-23","NA","E. coli","MPN/100 mL",21.6,21.6,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2021-02-16","NA","E. coli","MPN/100 mL",21.3,21.3,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2021-02-09","NA","E. coli","MPN/100 mL",8.6,8.6,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2021-02-02","NA","E. coli","MPN/100 mL",60.2,60.2,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2021-01-26","NA","E. coli","MPN/100 mL",101.7,101.7,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2021-01-19","NA","E. coli","MPN/100 mL",18.7,18.7,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2021-01-12","NA","E. coli","MPN/100 mL",60.2,60.2,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2021-01-05","NA","E. coli","MPN/100 mL",240,240,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2020-12-29","NA","E. coli","MPN/100 mL",33.1,33.1,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2020-12-22","NA","E. coli","MPN/100 mL",37.9,37.9,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2020-12-15","NA","E. coli","MPN/100 mL",43.1,43.1,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2020-12-09","NA","E. coli","MPN/100 mL",49.6,49.6,1,NA,"NA"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Park","519SAC104","2020-12-01","NA","E. coli","MPN/100 mL",45.7,45.7,1,NA,"NA"
